ticket_date,channel,region,issue_type,resolution_hours,csat_score,first_contact_resolution,churned_within_90d
2024-07-26,Chat,North America,Billing,3.8,4.0,False,False
2024-09-10,Chat,North America,Account Access,3.7,4.0,True,False
2024-07-03,Chat,APAC,Account Access,4.9,3.0,False,False
2024-10-18,Chat,EMEA,Feature Request,3.4,4.0,False,False
2024-05-17,Email,EMEA,Billing,22.6,3.4,False,False
2025-02-20,Chat,North America,Account Access,7.8,4.5,False,False
2025-08-06,Self-Service,APAC,Account Access,0.6,4.1,False,False
2024-08-08,Email,APAC,Feature Request,23.0,2.7,True,True
2025-05-22,Email,EMEA,Feature Request,18.9,4.0,False,False
2024-12-08,Email,EMEA,Technical Issue,11.8,4.2,True,False
2024-09-24,Email,APAC,General Inquiry,17.5,3.5,True,False
2025-08-29,Email,North America,General Inquiry,21.1,5.0,True,False
2024-04-30,Chat,North America,Technical Issue,3.1,4.8,False,False
2024-01-02,Email,APAC,General Inquiry,30.9,3.4,True,False
2025-11-03,Chat,APAC,Feature Request,6.5,4.7,True,False
2024-10-18,Email,LATAM,Account Access,16.2,4.0,False,False
2025-10-05,Chat,EMEA,General Inquiry,2.0,5.0,False,False
2025-10-07,Phone,APAC,Feature Request,2.4,4.3,True,False
2025-12-31,Chat,LATAM,Account Access,4.9,4.2,True,True
2024-12-31,Chat,North America,Account Access,5.4,5.0,False,False
2025-10-12,Chat,APAC,General Inquiry,3.0,4.0,True,False
2024-12-27,Phone,LATAM,Feature Request,0.6,4.4,False,False
2025-03-27,Chat,APAC,Technical Issue,2.4,3.6,False,False
2024-03-26,Email,APAC,Billing,21.8,4.6,True,False
2024-08-08,Email,North America,Billing,25.8,3.3,False,False
2024-05-01,Self-Service,North America,Technical Issue,0.4,3.3,False,False
2024-12-05,Phone,EMEA,Technical Issue,3.4,5.0,True,False
2025-07-26,Chat,APAC,Technical Issue,2.2,5.0,False,False
2024-02-04,Chat,EMEA,Billing,3.9,3.8,True,False
2025-02-15,Self-Service,EMEA,Feature Request,0.3,3.2,True,True
2024-11-29,Chat,EMEA,Billing,1.1,4.5,True,False
2025-05-13,Phone,APAC,General Inquiry,2.7,3.9,True,False
2024-08-16,Chat,EMEA,Billing,3.7,3.7,False,False
2025-12-08,Self-Service,EMEA,Feature Request,0.2,3.3,True,False
2024-09-02,Email,APAC,Billing,20.9,4.0,False,False
2024-11-21,Chat,LATAM,Feature Request,8.1,3.7,True,False
2025-06-01,Email,APAC,Billing,34.4,4.6,False,False
2025-04-19,Chat,North America,Billing,2.1,4.8,False,False
2025-12-20,Email,LATAM,Feature Request,25.7,2.7,False,True
2025-08-20,Chat,APAC,Billing,5.7,4.0,True,False
2024-03-25,Chat,LATAM,Feature Request,3.0,5.0,True,False
2025-05-29,Email,LATAM,Billing,17.2,5.0,False,False
2025-09-12,Email,EMEA,Technical Issue,26.4,4.2,False,False
2024-04-08,Chat,EMEA,General Inquiry,2.2,5.0,False,False
2024-11-27,Phone,APAC,Billing,1.6,3.0,True,False
2025-05-11,Email,LATAM,Account Access,16.1,2.9,False,False
2025-10-01,Email,North America,Billing,14.3,3.7,True,False
2024-02-23,Chat,North America,Billing,4.1,3.4,False,False
2025-08-29,Phone,EMEA,Technical Issue,1.8,4.2,True,False
2024-10-07,Self-Service,LATAM,Account Access,0.6,3.9,False,False
2024-03-27,Self-Service,North America,Technical Issue,0.5,4.3,True,False
2025-08-21,Self-Service,LATAM,General Inquiry,0.8,3.4,False,False
